f0_,event_name,daily_rev,users
2025-08-15,af_ad_revenue,2438.9845929539592,27288
2025-08-15,af_purchase,619.4980457735783,46
2025-08-16,af_ad_revenue,2643.465610298972,28381
2025-08-16,af_purchase,660.9491242971565,73
2025-08-17,af_ad_revenue,2847.478236901202,29755
2025-08-17,af_purchase,789.692121831913,68
2025-08-17,af_purchase_refund,-0.99,1
2025-08-18,af_ad_revenue,2618.2697916336892,27820
2025-08-18,af_purchase,799.868523289568,74
2025-08-19,af_ad_revenue,2664.4040882533236,28181
2025-08-19,af_purchase,714.8307116094525,74
2025-08-20,af_ad_revenue,2674.700670792224,28699
2025-08-20,af_purchase,2482.036860327178,223
2025-08-21,af_ad_revenue,2481.9802066370285,28383
2025-08-21,af_purchase,5353.399563350289,460
2025-08-21,af_purchase_refund,-24.269074350901068,1
2025-08-22,af_ad_revenue,2453.827174090905,27938
2025-08-22,af_purchase,886.6555281137665,79
2025-08-23,af_ad_revenue,2421.0189490847197,29469
2025-08-23,af_purchase,846.5582497696178,96
2025-08-24,af_ad_revenue,2545.065003523068,31554
2025-08-24,af_purchase,1056.8772969176325,110
2025-08-25,af_ad_revenue,2478.5531037510837,32950
2025-08-25,af_purchase,1077.9419554163305,81
2025-08-26,af_ad_revenue,2390.674399000525,32236
2025-08-26,af_purchase,650.86503636774,71
2025-08-27,af_ad_revenue,2513.821786495383,33144
2025-08-27,af_purchase,1932.4775858856653,176
2025-08-28,af_ad_revenue,2522.959309486739,32659
2025-08-28,af_purchase,6078.549322306791,462
2025-08-29,af_ad_revenue,792.8069944695466,17192
2025-08-29,af_purchase,1288.9358416212385,98
2025-08-30,af_ad_revenue,2581.5928922325606,33656
2025-08-30,af_purchase,1132.5334747014113,96
2025-08-30,af_purchase_refund,-8.772663199096156,1
